handedness,avg
Right Handed,0
Right Handed,0.235
Left Handed,0.212
Left Handed,0.25
Right Handed,0.242
Right Handed,0.228
Right Handed,0
Left Handed,0.274
Right Handed,0.23
Right Handed,0.193
Right Handed,0.241
Right Handed,0.251
Right Handed,0.248
Right Handed,0
Right Handed,0
Right Handed,0.286
Right Handed,0.23
Right Handed,0.261
Left Handed,0.306
Right Handed,0.157
Right Handed,0.242
Right Handed,0.262
Switch Hitter,0.267
Right Handed,0
Right Handed,0.268
Right Handed,0.266
Right Handed,0.261
Right Handed,0.164
Right Handed,0
Left Handed,0.271
Right Handed,0.267
Right Handed,0.151
Left Handed,0.253
Left Handed,0.242
Right Handed,0
Right Handed,0.249
Left Handed,0
Right Handed,0.213
Left Handed,0
Right Handed,0.276
Right Handed,0.24
Left Handed,0.233
Left Handed,0.274
Switch Hitter,0.287
Right Handed,0.158
Right Handed,0
Right Handed,0.261
Right Handed,0.278
Switch Hitter,0.271
Left Handed,0.229
Left Handed,0.235
Right Handed,0
Right Handed,0.292
Right Handed,0.236
Right Handed,0.243
Right Handed,0
Left Handed,0.282
Left Handed,0.201
Right Handed,0.25
Left Handed,0.258
Right Handed,0.242
Right Handed,0.123
Right Handed,0.236
Switch Hitter,0.259
Right Handed,0.258
Switch Hitter,0.245
Right Handed,0.247
Left Handed,0.293
Right Handed,0.201
Switch Hitter,0.228
Right Handed,0
Right Handed,0.259
Right Handed,0.263
Right Handed,0.226
Right Handed,0.132
Right Handed,0.25
Right Handed,0.241
Right Handed,0.265
Right Handed,0.24
Right Handed,0.267
Left Handed,0.275
Right Handed,0.243
Left Handed,0.26
Left Handed,0.255
Right Handed,0
Right Handed,0.259
Right Handed,0.26
Right Handed,0.251
Left Handed,0.257
Right Handed,0
Left Handed,0.237
Right Handed,0.242
Left Handed,0.237
Right Handed,0.226
Left Handed,0.265
Right Handed,0.297
Right Handed,0.259
Right Handed,0
Right Handed,0.271
Right Handed,0
Right Handed,0.212
Right Handed,0.242
Right Handed,0.247
Right Handed,0.242
Left Handed,0.25
Right Handed,0
Switch Hitter,0.274
Left Handed,0.279
Right Handed,0.207
Right Handed,0.251
Right Handed,0.268
Right Handed,0.133
Switch Hitter,0.274
Right Handed,0.253
Right Handed,0.25
Right Handed,0.243
Right Handed,0.263
Right Handed,0.237
Left Handed,0.237
Right Handed,0.234
Right Handed,0.246
Right Handed,0
Right Handed,0.266
